N,P,K,temperature,humidity,ph,rainfall,label
82.0,40.0,40.0,23.831,84.814,6.271,298.56,Rice
85.0,52.0,45.0,26.314,82.367,7.224,265.536,Rice
91.0,35.0,38.0,24.897,80.526,6.134,183.679,Rice
76.0,49.0,42.0,24.959,84.48,5.206,196.956,Rice
74.0,39.0,38.0,23.241,84.592,7.782,233.045,Rice
79.0,43.0,39.0,21.666,80.71,7.063,210.814,Rice
88.0,55.0,45.0,24.635,80.414,7.73,253.72,Rice
60.0,36.0,43.0,23.431,83.063,5.286,219.905,Rice
76.0,60.0,39.0,20.045,80.348,6.766,208.581,Rice
93.0,56.0,42.0,23.857,82.226,7.383,195.095,Rice
65.0,60.0,43.0,21.972,81.899,5.658,227.364,Rice
95.0,52.0,36.0,26.229,83.836,5.543,286.508,Rice
75.0,38.0,39.0,23.447,84.794,6.215,283.934,Rice
74.0,54.0,38.0,25.656,83.47,7.12,217.379,Rice
91.0,36.0,45.0,24.443,82.454,5.951,267.976,Rice
71.0,46.0,40.0,20.28,82.124,7.237,191.954,Rice
99.0,55.0,35.0,21.724,80.239,6.502,277.963,Rice
72.0,40.0,38.0,20.414,82.208,7.592,245.151,Rice
83.0,58.0,45.0,25.755,83.518,5.875,245.663,Rice
93.0,58.0,38.0,20.615,83.773,6.932,279.545,Rice
70.0,36.0,42.0,21.841,80.729,6.946,202.384,Rice
76.0,47.0,42.0,20.084,83.291,5.739,263.637,Rice
99.0,41.0,36.0,24.458,82.748,6.739,182.562,Rice
99.0,54.0,37.0,21.143,80.335,5.595,198.673,Rice
86.0,59.0,35.0,25.787,82.111,6.947,243.512,Rice
69.0,46.0,41.0,23.641,80.286,5.012,263.11,Rice
91.0,56.0,37.0,23.432,80.569,6.363,269.504,Rice
61.0,52.0,41.0,24.977,83.892,6.88,204.8,Rice
67.0,45.0,38.0,22.728,82.171,7.3,260.888,Rice
79.0,42.0,37.0,24.873,82.84,6.588,295.609,Rice
78.0,43.0,42.0,21.324,83.003,7.284,192.32,Rice
75.0,54.0,36.0,26.295,84.569,7.024,257.491,Rice
97.0,36.0,45.0,22.229,81.859,6.939,278.079,Rice
67.0,47.0,44.0,26.731,81.786,7.868,280.404,Rice
73.0,35.0,38.0,24.889,81.979,5.005,185.946,Rice
77.0,36.0,37.0,26.884,81.46,6.136,194.577,Rice
81.0,41.0,38.0,22.678,83.729,7.524,200.913,Rice
68.0,57.0,43.0,26.089,80.38,5.707,182.904,Rice
72.0,45.0,35.0,25.43,82.947,5.759,195.357,Rice
61.0,53.0,43.0,26.403,81.056,6.35,223.367,Rice
67.0,43.0,39.0,26.044,84.969,6.0,186.754,Rice
67.0,58.0,39.0,25.283,80.544,5.454,220.116,Rice
66.0,60.0,38.0,22.086,83.47,6.373,231.736,Rice
82.0,43.0,38.0,23.286,81.433,5.106,242.317,Rice
84.0,50.0,44.0,25.486,81.406,5.935,182.655,Rice
81.0,53.0,42.0,23.676,81.036,5.178,233.703,Rice
91.0,50.0,40.0,20.825,84.134,6.462,230.224,Rice
93.0,53.0,38.0,26.93,81.914,7.069,290.679,Rice
90.0,44.0,38.0,23.835,83.884,7.473,241.201,Rice
81.0,45.0,35.0,26.529,80.123,6.158,218.916,Rice
78.0,40.0,38.0,26.464,83.856,7.55,248.226,Rice
60.0,51.0,36.0,22.697,82.811,6.028,256.996,Rice
88.0,46.0,42.0,22.683,83.464,6.605,194.265,Rice
93.0,47.0,37.0,21.533,82.14,6.5,295.925,Rice
60.0,55.0,45.0,21.409,83.329,5.936,287.577,Rice
78.0,35.0,44.0,26.543,84.674,7.073,183.622,Rice
65.0,37.0,40.0,23.359,83.595,5.333,188.414,Rice
71.0,54.0,16.0,22.614,63.691,5.75,87.76,Maize
61.0,44.0,17.0,26.1,71.575,6.932,102.266,Maize
80.0,43.0,16.0,23.559,71.594,6.658,66.72,Maize
73.0,58.0,21.0,19.972,57.683,6.596,60.652,Maize
61.0,38.0,20.0,18.479,62.695,5.97,65.438,Maize
68.0,41.0,16.0,21.777,57.808,6.159,102.086,Maize
93.0,41.0,17.0,25.622,66.504,6.048,105.465,Maize
89.0,60.0,19.0,25.192,66.69,5.914,78.066,Maize
76.0,44.0,17.0,20.417,62.554,5.855,65.278,Maize
67.0,60.0,25.0,24.922,66.786,5.75,109.216,Maize
70.0,44.0,19.0,23.317,73.454,5.853,94.297,Maize
90.0,49.0,21.0,24.84,68.358,6.473,74.055,Maize
62.0,52.0,16.0,22.275,58.84,6.967,63.87,Maize
92.0,44.0,16.0,18.878,65.768,6.083,94.762,Maize
66.0,54.0,21.0,25.19,60.2,5.919,72.124,Maize
63.0,58.0,22.0,18.254,55.282,6.205,63.724,Maize
70.0,47.0,17.0,24.613,70.416,6.601,104.163,Maize
61.0,41.0,17.0,25.142,65.262,6.022,76.685,Maize
66.0,53.0,19.0,23.093,60.116,6.034,65.497,Maize
74.0,55.0,19.0,18.05,62.894,6.289,84.236,Maize
77.0,57.0,21.0,24.932,73.804,6.551,79.741,Maize
99.0,50.0,15.0,18.147,71.094,5.573,88.078,Maize
74.0,56.0,22.0,18.284,66.66,6.829,80.976,Maize
83.0,45.0,21.0,18.833,58.751,5.716,79.753,Maize
100.0,48.0,16.0,25.719,67.222,5.55,74.515,Maize
79.0,51.0,16.0,25.338,68.498,6.586,96.464,Maize
94.0,39.0,18.0,23.891,57.488,5.893,102.83,Maize
75.0,49.0,15.0,21.536,71.509,5.918,102.485,Maize
78.0,48.0,22.0,23.09,63.105,5.589,70.435,Maize
87.0,54.0,20.0,25.617,63.471,6.576,108.83,Maize
87.0,35.0,25.0,21.445,63.162,6.178,65.89,Maize
63.0,43.0,19.0,18.518,55.531,6.642,90.988,Maize
84.0,57.0,25.0,22.535,67.993,6.489,64.409,Maize
64.0,35.0,23.0,23.02,61.895,5.68,63.038,Maize
60.0,46.0,22.0,24.894,65.614,6.625,87.93,Maize
98.0,44.0,21.0,25.772,74.089,6.524,107.493,Maize
75.0,56.0,18.0,19.399,62.358,5.696,60.952,Maize
86.0,55.0,21.0,21.542,59.64,6.804,109.752,Maize
98.0,35.0,18.0,23.797,74.829,6.253,91.763,Maize
76.0,57.0,18.0,18.98,74.526,6.093,94.262,Maize
99.0,56.0,17.0,24.109,73.131,6.234,71.076,Maize
60.0,44.0,23.0,24.795,70.046,5.723,76.729,Maize
74.0,48.0,17.0,21.632,60.278,6.431,69.218,Maize
89.0,60.0,17.0,25.375,57.21,5.984,101.7,Maize
69.0,51.0,23.0,22.217,72.855,6.802,106.621,Maize
96.0,46.0,22.0,20.583,69.001,6.5,66.294,Maize
61.0,60.0,15.0,24.875,68.742,6.266,91.261,Maize
74.0,58.0,18.0,20.037,56.356,6.727,109.024,Maize
74.0,43.0,23.0,25.953,61.891,6.325,99.58,Maize
63.0,43.0,17.0,19.289,65.471,6.807,71.32,Maize
99.0,36.0,20.0,20.58,65.346,6.671,78.346,Maize
77.0,36.0,23.0,24.714,56.734,6.649,88.454,Maize
87.0,60.0,23.0,20.273,63.913,6.439,62.504,Maize
60.0,38.0,17.0,18.419,64.236,6.474,76.413,Maize
94.0,54.0,17.0,23.391,61.744,5.872,107.32,Maize
95.0,38.0,22.0,19.849,61.245,5.731,100.769,Maize
84.0,44.0,21.0,21.869,61.91,5.85,107.268,Maize
77.0,58.0,19.0,22.806,56.508,5.792,101.595,Maize
66.0,44.0,20.0,19.078,69.023,6.74,80.725,Maize
63.0,35.0,16.0,22.027,65.355,6.272,83.733,Maize
79.0,45.0,20.0,23.805,59.245,5.715,89.962,Maize
72.0,60.0,25.0,18.525,69.028,5.773,88.102,Maize
67.0,51.0,24.0,23.503,61.32,5.584,64.778,Maize
86.0,36.0,24.0,26.55,72.892,5.787,73.336,Maize
76.0,48.0,18.0,19.296,69.635,5.776,83.21,Maize
75.0,53.0,18.0,20.689,59.438,6.865,103.651,Maize
81.0,45.0,23.0,19.327,68.034,6.192,84.23,Maize
73.0,45.0,21.0,24.605,73.589,6.637,96.592,Maize
71.0,35.0,24.0,22.274,59.522,5.826,67.967,Maize
96.0,54.0,22.0,25.702,61.335,6.96,83.207,Maize
99.0,39.0,18.0,19.201,68.306,6.113,87.851,Maize
62.0,48.0,20.0,21.702,60.475,6.708,95.714,Maize
86.0,37.0,16.0,20.517,59.212,5.562,67.61,Maize
94.0,50.0,19.0,23.304,73.625,5.873,97.591,Maize
76.0,39.0,24.0,24.255,55.647,6.996,64.238,Maize
77.0,52.0,17.0,24.864,65.742,5.715,75.823,Maize
74.0,39.0,23.0,22.627,65.775,6.781,88.173,Maize
81.0,49.0,20.0,18.042,60.615,5.514,104.232,Maize
63.0,42.0,21.0,23.262,72.331,5.798,67.102,Maize
99.0,38.0,21.0,22.883,71.597,6.352,67.728,Maize
90.0,52.0,25.0,25.975,69.364,6.823,103.223,Maize
68.0,40.0,19.0,26.144,66.206,6.655,107.236,Maize
60.0,57.0,24.0,18.661,61.553,6.121,75.032,Maize
71.0,52.0,18.0,25.108,55.977,5.791,78.161,Maize
61.0,59.0,17.0,23.338,59.246,6.474,105.008,Maize
88.0,38.0,15.0,25.082,65.922,6.455,62.492,Maize
65.0,60.0,22.0,25.368,72.521,6.607,107.912,Maize
78.0,37.0,22.0,25.342,63.318,6.331,74.521,Maize
78.0,58.0,15.0,25.009,67.817,6.529,62.914,Maize
92.0,60.0,23.0,18.667,71.516,5.722,69.933,Maize
79.0,59.0,17.0,20.38,63.738,6.644,108.505,Maize
91.0,55.0,15.0,18.093,72.61,6.377,78.962,Maize
76.0,51.0,18.0,26.17,71.962,6.247,79.849,Maize
87.0,48.0,25.0,18.654,61.379,6.657,93.62,Maize
71.0,60.0,22.0,26.075,59.371,6.205,85.757,Maize
90.0,57.0,24.0,18.929,72.801,6.159,82.342,Maize
67.0,35.0,22.0,23.305,63.246,6.386,108.76,Maize
60.0,54.0,19.0,18.748,62.499,6.418,70.234,Maize
83.0,58.0,23.0,19.742,59.663,6.381,65.509,Maize
83.0,57.0,19.0,25.73,70.747,6.878,98.738,Maize
40.0,72.0,77.0,17.025,16.989,7.486,88.551,Chickpea
23.0,72.0,84.0,19.021,17.132,6.92,79.927,Chickpea
39.0,58.0,85.0,17.888,15.406,5.997,68.549,Chickpea
22.0,72.0,85.0,18.868,15.658,6.391,88.51,Chickpea
36.0,67.0,77.0,18.37,19.564,7.153,79.264,Chickpea
32.0,73.0,81.0,20.451,15.403,5.989,92.684,Chickpea
58.0,70.0,84.0,20.654,16.608,6.231,74.663,Chickpea
59.0,70.0,84.0,17.335,18.749,7.551,82.617,Chickpea
42.0,62.0,75.0,18.179,18.904,7.011,81.85,Chickpea
28.0,74.0,81.0,18.013,18.31,8.754,81.986,Chickpea
58.0,66.0,79.0,20.994,19.335,8.718,93.553,Chickpea
43.0,66.0,79.0,19.462,15.225,7.977,74.586,Chickpea
58.0,63.0,81.0,19.813,14.698,6.515,78.965,Chickpea
23.0,62.0,85.0,18.974,19.516,8.49,80.711,Chickpea
27.0,62.0,77.0,18.197,14.711,6.576,70.182,Chickpea
28.0,72.0,84.0,18.73,19.182,6.482,71.58,Chickpea
50.0,56.0,76.0,20.995,19.86,7.967,73.507,Chickpea
39.0,71.0,84.0,20.282,16.395,8.141,82.523,Chickpea
25.0,78.0,76.0,17.48,15.756,7.229,66.97,Chickpea
31.0,70.0,77.0,20.888,14.323,6.493,90.462,Chickpea
26.0,80.0,83.0,17.085,16.146,7.529,71.31,Chickpea
25.0,68.0,77.0,20.093,15.113,7.701,85.749,Chickpea
31.0,78.0,76.0,17.572,14.999,8.52,89.311,Chickpea
60.0,68.0,83.0,19.121,18.435,6.621,85.53,Chickpea
59.0,62.0,83.0,18.577,19.22,8.104,72.949,Chickpea
22.0,67.0,78.0,17.166,14.425,6.204,72.327,Chickpea
36.0,65.0,80.0,18.287,16.679,6.051,74.874,Chickpea
59.0,60.0,84.0,19.03,18.667,7.691,94.71,Chickpea
54.0,77.0,85.0,17.142,17.066,7.829,83.746,Chickpea
43.0,68.0,81.0,17.478,17.933,6.762,78.921,Chickpea
28.0,76.0,82.0,20.566,14.258,6.654,83.759,Chickpea
42.0,79.0,85.0,17.224,15.821,6.13,76.576,Chickpea
32.0,60.0,83.0,19.691,19.442,8.829,91.761,Chickpea
22.0,78.0,76.0,17.849,19.092,8.622,76.325,Chickpea
31.0,79.0,75.0,18.82,16.107,8.205,89.731,Chickpea
28.0,58.0,81.0,17.475,16.543,6.18,93.35,Chickpea
57.0,58.0,77.0,18.726,17.584,7.979,81.202,Chickpea
49.0,55.0,78.0,18.656,16.178,7.863,81.708,Chickpea
46.0,76.0,77.0,18.236,19.685,6.968,83.749,Chickpea
54.0,61.0,77.0,18.812,15.216,6.207,77.543,Chickpea
38.0,60.0,76.0,18.651,17.809,8.869,77.928,Chickpea
59.0,55.0,79.0,20.367,16.896,8.766,82.255,Chickpea
36.0,76.0,75.0,18.381,16.638,8.736,70.521,Chickpea
57.0,68.0,81.0,17.17,17.305,8.081,72.786,Chickpea
35.0,66.0,81.0,19.371,15.775,6.138,85.248,Chickpea
35.0,64.0,78.0,17.928,14.273,7.497,85.374,Chickpea
52.0,60.0,79.0,19.453,18.235,8.38,75.632,Chickpea
27.0,76.0,83.0,19.128,14.922,6.29,89.619,Chickpea
57.0,60.0,84.0,19.103,17.262,6.587,75.491,Chickpea
52.0,68.0,78.0,17.485,16.961,6.897,86.051,Chickpea
43.0,79.0,79.0,19.408,18.98,7.807,80.251,Chickpea
44.0,74.0,85.0,20.186,19.637,7.151,78.26,Chickpea
24.0,55.0,78.0,17.303,15.154,6.649,75.578,Chickpea
29.0,77.0,75.0,17.504,15.481,7.779,72.945,Chickpea
20.0,60.0,78.0,18.172,14.701,6.359,90.776,Chickpea
56.0,67.0,78.0,17.574,16.718,8.255,77.819,Chickpea
37.0,66.0,85.0,20.932,18.913,6.456,78.069,Chickpea
49.0,71.0,76.0,19.711,17.639,6.613,85.579,Chickpea
59.0,69.0,80.0,19.079,17.868,8.165,69.406,Chickpea
20.0,79.0,77.0,18.55,16.025,7.649,76.326,Chickpea
24.0,56.0,85.0,18.199,17.413,6.546,80.641,Chickpea
51.0,72.0,75.0,18.889,14.995,7.104,80.111,Chickpea
57.0,73.0,85.0,18.493,14.721,7.358,91.946,Chickpea
22.0,64.0,82.0,19.49,17.173,6.474,87.513,Chickpea
52.0,73.0,79.0,17.258,18.749,7.84,94.003,Chickpea
29.0,75.0,75.0,19.624,18.715,7.065,88.459,Chickpea
44.0,59.0,78.0,20.675,19.854,7.599,84.783,Chickpea
41.0,69.0,82.0,20.024,16.633,6.716,68.978,Chickpea
52.0,56.0,85.0,20.119,14.442,6.817,88.682,Chickpea
34.0,76.0,80.0,20.657,15.846,7.985,65.238,Chickpea
42.0,74.0,83.0,19.258,14.28,7.545,65.78,Chickpea
34.0,71.0,79.0,17.928,15.856,7.729,74.639,Chickpea
27.0,73.0,79.0,19.163,15.835,7.355,82.698,Chickpea
30.0,70.0,79.0,20.269,19.97,7.313,69.644,Chickpea
57.0,57.0,75.0,17.091,18.251,7.785,87.274,Chickpea
27.0,79.0,82.0,17.066,17.54,6.307,70.872,Chickpea
32.0,71.0,85.0,20.628,14.44,6.404,92.066,Chickpea
31.0,76.0,82.0,20.825,17.851,7.599,79.205,Chickpea
33.0,75.0,84.0,19.462,18.728,7.217,68.814,Chickpea
47.0,80.0,77.0,17.182,16.429,7.561,72.85,Chickpea
54.0,62.0,80.0,17.489,16.391,7.49,79.458,Chickpea
47.0,79.0,78.0,17.484,14.76,6.61,65.114,Chickpea
35.0,57.0,83.0,19.483,17.445,7.477,80.499,Chickpea
53.0,73.0,77.0,19.714,18.097,7.325,73.645,Chickpea
45.0,61.0,78.0,19.486,16.062,6.489,81.528,Chickpea
37.0,78.0,79.0,19.953,14.826,7.786,88.681,Chickpea
30.0,75.0,81.0,19.418,16.805,6.408,68.495,Chickpea
37.0,55.0,82.0,19.456,18.022,8.424,78.449,Chickpea
53.0,65.0,76.0,20.191,16.42,8.72,77.338,Chickpea
22.0,60.0,85.0,18.839,14.741,7.812,94.782,Chickpea
60.0,61.0,78.0,20.712,19.836,6.317,94.037,Chickpea
42.0,67.0,77.0,18.994,15.936,7.114,78.697,Chickpea
39.0,76.0,76.0,19.968,15.573,8.136,69.158,Chickpea
35.0,63.0,76.0,17.816,17.608,7.714,90.821,Chickpea
30.0,65.0,82.0,20.714,15.278,7.104,76.779,Chickpea
57.0,56.0,78.0,17.342,18.756,8.861,67.955,Chickpea
48.0,65.0,78.0,17.437,14.338,7.861,73.093,Chickpea
36.0,56.0,83.0,18.898,19.762,7.453,69.095,Chickpea
40.0,58.0,75.0,18.592,14.78,7.168,89.61,Chickpea
49.0,69.0,82.0,18.316,15.361,7.263,81.787,Chickpea
13.0,60.0,25.0,17.137,20.595,5.686,128.257,Kidneybeans
25.0,70.0,16.0,19.635,18.907,5.759,106.36,Kidneybeans
31.0,55.0,22.0,22.914,21.34,5.873,109.226,Kidneybeans
40.0,64.0,16.0,16.433,24.24,5.927,140.372,Kidneybeans
2.0,61.0,20.0,22.14,23.023,5.956,76.641,Kidneybeans
26.0,65.0,22.0,17.848,18.776,5.95,143.098,Kidneybeans
17.0,57.0,21.0,19.884,20.316,5.789,60.92,Kidneybeans
26.0,80.0,18.0,19.325,23.333,5.581,104.778,Kidneybeans
17.0,59.0,17.0,18.417,23.428,5.69,132.98,Kidneybeans
27.0,59.0,22.0,21.812,23.206,5.794,130.061,Kidneybeans
28.0,58.0,24.0,19.727,18.282,5.748,143.763,Kidneybeans
25.0,57.0,19.0,17.154,19.871,5.567,87.997,Kidneybeans
28.0,80.0,17.0,19.622,18.672,5.809,144.157,Kidneybeans
25.0,60.0,22.0,21.631,21.179,5.887,134.365,Kidneybeans
12.0,78.0,23.0,16.065,18.725,5.998,88.066,Kidneybeans
6.0,77.0,25.0,20.612,24.363,5.793,69.638,Kidneybeans
22.0,79.0,17.0,21.425,20.397,5.912,116.521,Kidneybeans
27.0,80.0,15.0,19.071,21.211,5.788,86.219,Kidneybeans
10.0,55.0,23.0,21.189,19.634,5.728,137.195,Kidneybeans
23.0,65.0,20.0,23.043,22.426,5.834,108.368,Kidneybeans
19.0,78.0,16.0,20.654,23.105,5.968,67.718,Kidneybeans
19.0,65.0,25.0,18.096,18.293,5.625,144.79,Kidneybeans
22.0,70.0,19.0,18.238,21.076,5.516,69.45,Kidneybeans
37.0,64.0,22.0,17.482,18.825,5.955,121.94,Kidneybeans
11.0,71.0,17.0,19.919,21.473,5.746,82.686,Kidneybeans
18.0,79.0,20.0,20.275,23.235,5.877,139.752,Kidneybeans
21.0,63.0,17.0,15.774,19.23,5.98,108.344,Kidneybeans
24.0,80.0,22.0,16.712,19.177,5.636,96.773,Kidneybeans
34.0,60.0,22.0,17.661,18.153,5.635,100.671,Kidneybeans
16.0,75.0,21.0,18.507,23.617,5.679,87.051,Kidneybeans
17.0,77.0,23.0,24.513,20.815,5.67,64.195,Kidneybeans
37.0,72.0,18.0,18.876,24.54,5.724,105.412,Kidneybeans
40.0,73.0,20.0,21.593,20.319,5.811,61.139,Kidneybeans
9.0,77.0,17.0,20.124,24.452,5.783,106.158,Kidneybeans
1.0,62.0,23.0,15.435,18.375,5.608,139.03,Kidneybeans
33.0,59.0,22.0,22.642,21.594,5.947,122.389,Kidneybeans
23.0,59.0,19.0,21.986,24.873,5.852,129.565,Kidneybeans
6.0,62.0,22.0,20.531,18.092,5.824,120.451,Kidneybeans
25.0,63.0,20.0,15.786,21.145,5.503,95.17,Kidneybeans
7.0,79.0,23.0,19.637,19.688,5.822,96.659,Kidneybeans
8.0,72.0,17.0,20.573,19.752,5.711,87.879,Kidneybeans
27.0,64.0,15.0,20.161,24.842,5.515,138.236,Kidneybeans
28.0,66.0,23.0,21.54,24.254,5.996,120.691,Kidneybeans
32.0,57.0,18.0,15.538,23.756,5.695,107.385,Kidneybeans
27.0,56.0,22.0,19.919,20.701,5.833,108.643,Kidneybeans
17.0,77.0,24.0,20.77,18.931,5.568,109.019,Kidneybeans
0.0,65.0,15.0,23.462,23.222,5.645,95.843,Kidneybeans
13.0,72.0,21.0,24.321,21.028,5.821,60.276,Kidneybeans
34.0,60.0,23.0,20.126,24.97,5.659,100.05,Kidneybeans
9.0,80.0,19.0,21.806,18.571,5.945,125.097,Kidneybeans
11.0,72.0,20.0,19.522,24.926,5.951,113.334,Kidneybeans
3.0,67.0,24.0,17.001,19.908,5.521,103.293,Kidneybeans
35.0,69.0,23.0,16.788,24.969,5.578,75.453,Kidneybeans
3.0,77.0,25.0,24.849,22.895,5.608,62.213,Kidneybeans
23.0,62.0,19.0,16.518,20.456,5.609,98.778,Kidneybeans
22.0,71.0,17.0,18.153,19.386,5.509,107.691,Kidneybeans
31.0,79.0,25.0,23.189,22.31,5.902,63.382,Kidneybeans
34.0,59.0,18.0,23.38,21.989,5.744,87.669,Kidneybeans
12.0,63.0,17.0,18.359,19.377,5.717,138.415,Kidneybeans
27.0,56.0,20.0,19.26,20.513,5.543,94.953,Kidneybeans
7.0,63.0,24.0,22.955,24.036,5.859,107.732,Kidneybeans
24.0,67.0,22.0,20.12,22.898,5.619,104.625,Kidneybeans
11.0,71.0,24.0,21.14,22.718,5.607,141.606,Kidneybeans
37.0,74.0,15.0,24.924,18.226,5.582,62.709,Kidneybeans
25.0,76.0,24.0,15.33,24.915,5.565,135.332,Kidneybeans
34.0,66.0,17.0,18.811,21.278,5.89,125.085,Kidneybeans
20.0,69.0,15.0,23.443,22.773,5.934,107.414,Kidneybeans
37.0,65.0,16.0,22.835,18.973,5.684,63.593,Kidneybeans
18.0,74.0,15.0,24.904,22.275,5.708,146.473,Kidneybeans
4.0,67.0,25.0,23.787,24.357,5.948,119.64,Kidneybeans
37.0,56.0,25.0,22.056,19.604,5.775,126.727,Kidneybeans
5.0,59.0,15.0,18.875,20.182,5.972,134.181,Kidneybeans
11.0,61.0,21.0,18.623,23.024,5.532,135.338,Kidneybeans
22.0,80.0,20.0,23.009,18.869,5.67,100.119,Kidneybeans
12.0,61.0,19.0,19.332,24.14,5.656,68.513,Kidneybeans
5.0,74.0,21.0,16.245,21.358,5.592,66.971,Kidneybeans
27.0,69.0,22.0,17.917,24.908,5.932,69.147,Kidneybeans
31.0,75.0,18.0,15.468,21.438,5.824,88.888,Kidneybeans
36.0,68.0,20.0,17.061,23.772,5.864,81.834,Kidneybeans
5.0,65.0,16.0,21.328,18.485,5.867,109.101,Kidneybeans
32.0,79.0,15.0,23.909,20.746,5.706,81.602,Kidneybeans
11.0,78.0,22.0,23.898,22.744,5.941,112.662,Kidneybeans
0.0,55.0,22.0,22.987,20.579,5.917,143.858,Kidneybeans
14.0,59.0,15.0,21.351,22.912,5.779,146.455,Kidneybeans
29.0,68.0,23.0,24.164,19.279,5.827,116.732,Kidneybeans
32.0,68.0,19.0,24.628,18.183,5.514,149.744,Kidneybeans
17.0,64.0,17.0,21.022,24.939,5.663,124.612,Kidneybeans
13.0,69.0,19.0,17.308,20.017,5.864,115.199,Kidneybeans
14.0,67.0,22.0,23.826,24.755,5.625,84.641,Kidneybeans
9.0,69.0,20.0,19.306,23.964,5.592,129.345,Kidneybeans
20.0,73.0,22.0,16.038,22.332,5.976,130.39,Kidneybeans
40.0,78.0,20.0,19.186,20.834,5.669,80.153,Kidneybeans
27.0,72.0,23.0,19.929,21.8,5.962,64.026,Kidneybeans
14.0,67.0,15.0,19.564,24.674,5.69,139.292,Kidneybeans
7.0,56.0,18.0,18.314,24.33,5.698,76.142,Kidneybeans
27.0,65.0,18.0,20.11,23.223,5.595,73.364,Kidneybeans
30.0,63.0,16.0,23.605,21.905,5.526,100.598,Kidneybeans
37.0,70.0,25.0,19.731,24.895,5.819,84.064,Kidneybeans
27.0,63.0,19.0,20.934,21.189,5.562,133.191,Kidneybeans
22.0,60.0,24.0,18.782,20.248,5.631,104.257,Kidneybeans
3.0,72.0,24.0,36.513,57.929,6.032,122.654,Pigeonpeas
40.0,59.0,23.0,36.892,62.732,5.269,163.727,Pigeonpeas
33.0,73.0,23.0,29.235,59.39,5.986,103.33,Pigeonpeas
27.0,57.0,24.0,27.335,43.358,6.092,142.33,Pigeonpeas
10.0,79.0,18.0,21.064,55.47,5.625,184.623,Pigeonpeas
30.0,75.0,25.0,30.333,42.352,6.446,149.3,Pigeonpeas
40.0,70.0,20.0,31.801,45.032,5.623,147.036,Pigeonpeas
38.0,55.0,19.0,33.182,38.232,5.865,198.83,Pigeonpeas
35.0,58.0,20.0,29.385,63.477,5.762,90.054,Pigeonpeas
38.0,61.0,21.0,30.274,67.387,4.697,127.777,Pigeonpeas
33.0,58.0,24.0,35.458,68.758,5.27,108.633,Pigeonpeas
16.0,56.0,17.0,33.8,40.033,7.445,176.617,Pigeonpeas
31.0,72.0,17.0,28.692,49.472,5.833,96.362,Pigeonpeas
16.0,80.0,20.0,31.24,56.674,7.339,122.015,Pigeonpeas
